gene.ensembl	gene.sym
ENSMUSG00000082766	1700064H15Rik
ENSMUSG00000099435	1700065I16Rik
ENSMUSG00000073598	1700066B19Rik
ENSMUSG00000038323	1700066M21Rik
ENSMUSG00000046408	1700067K01Rik
ENSMUSG00000021545	1700067P10Rik
ENSMUSG00000042184	1700069L16Rik
ENSMUSG00000080980	1700071K01Rik
ENSMUSG00000087204	1700073E17Rik
ENSMUSG00000029883	1700074P13Rik
ENSMUSG00000032566	1700080E11Rik
ENSMUSG00000031118	1700080O16Rik
ENSMUSG00000058101	1700084J12Rik
ENSMUSG00000057805	1700084M14Rik
ENSMUSG00000020548	1700086D15Rik
ENSMUSG00000071265	1700086L19Rik
ENSMUSG00000033029	1700088E04Rik
ENSMUSG00000090462	1700091H14Rik
ENSMUSG00000090840	1700092M07Rik
ENSMUSG00000020286	1700093K21Rik
ENSMUSG00000032611	1700102P08Rik
ENSMUSG00000008307	1700109H08Rik
ENSMUSG00000108490	1700110I07Rik
NA	1700112E06Rik
ENSMUSG00000047129	1700113H08Rik
ENSMUSG00000094928	1700122O11Rik
NA	1700123I01Rik
ENSMUSG00000029526	1700123K08Rik
ENSMUSG00000072878	1700123L14Rik
ENSMUSG00000040822	1700123O20Rik
ENSMUSG00000018479	1700125H20Rik
ENSMUSG00000031998	1700128F08Rik
ENSMUSG00000021977	1700129C05Rik
ENSMUSG00000071653	1810009A15Rik
ENSMUSG00000094808	1810009J06Rik
ENSMUSG00000078607	1810010H24Rik
NA	1810011H11Rik
NA	1810011O10Rik
ENSMUSG00000022507	1810013L24Rik
ENSMUSG00000101088	1810018F18Rik
ENSMUSG00000078784	1810022K09Rik
ENSMUSG00000044145	1810024B03Rik
NA	1810026J23Rik
ENSMUSG00000044148	1810030O07Rik
ENSMUSG00000020812	1810032O08Rik
ENSMUSG00000054091	1810037I17Rik
NA	1810041L15Rik
ENSMUSG00000020284	1810043G02Rik
NA	1810043H04Rik
ENSMUSG00000036027	1810046K07Rik
ENSMUSG00000097221	1810049J17Rik
ENSMUSG00000035372	1810055G02Rik
ENSMUSG00000027713	1810062G17Rik
ENSMUSG00000013653	1810065E05Rik
ENSMUSG00000051606	2010001K21Rik
ENSMUSG00000042041	2010003K11Rik
ENSMUSG00000095620	2010005H15Rik
ENSMUSG00000102047	2010010A06Rik
ENSMUSG00000025528	2010106E10Rik
NA	2010107E04Rik
NA	2010107G12Rik
NA	2010107G23Rik
ENSMUSG00000029384	2010109A12Rik
ENSMUSG00000063522	2010109I03Rik
ENSMUSG00000021458	2010111I01Rik
ENSMUSG00000026090	2010300C02Rik
ENSMUSG00000074829	2010315B03Rik
ENSMUSG00000030587	2200002D01Rik
ENSMUSG00000013083	2200002J24Rik
ENSMUSG00000029882	2210010C04Rik
ENSMUSG00000074217	2210011C24Rik
NA	2210013O21Rik
ENSMUSG00000021550	2210016F16Rik
ENSMUSG00000029559	2210016L21Rik
ENSMUSG00000103523	2210017I01Rik
NA	2210404O09Rik
ENSMUSG00000037145	2210407C18Rik
ENSMUSG00000071252	2210408I21Rik
ENSMUSG00000081766	2210409E12Rik
ENSMUSG00000078894	2210418O10Rik
ENSMUSG00000039269	2300002M23Rik
ENSMUSG00000078257	2300003K06Rik
ENSMUSG00000032403	2300009A05Rik
ENSMUSG00000028396	2310002L09Rik
ENSMUSG00000007457	2310003L06Rik
ENSMUSG00000034159	2310007B03Rik
ENSMUSG00000079283	2310009B15Rik
ENSMUSG00000020133	2310011J03Rik
ENSMUSG00000049643	2310022A10Rik
ENSMUSG00000031983	2310022B05Rik
ENSMUSG00000032062	2310030G06Rik
ENSMUSG00000020441	2310033P09Rik
ENSMUSG00000068078	2310034C09Rik
ENSMUSG00000099655	2310034G01Rik
ENSMUSG00000026319	2310035C23Rik
NA	2310036O22Rik
ENSMUSG00000062619	2310039H08Rik
ENSMUSG00000102308	2310046K23Rik
ENSMUSG00000090314	2310050C09Rik
ENSMUSG00000015519	2310057J18Rik
ENSMUSG00000040177	2310057M21Rik
ENSMUSG00000048830	2310057N15Rik
ENSMUSG00000050705	2310061I04Rik
ENSMUSG00000050704	2310061N02Rik
ENSMUSG00000045331	2310079G19Rik
ENSMUSG00000045411	2410002F23Rik
ENSMUSG00000036873	2410004B18Rik
ENSMUSG00000071398	2410004P03Rik
ENSMUSG00000049760	2410015M20Rik
NA	2410016O06Rik
ENSMUSG00000054379	2410024N13Rik
NA	2410089E03Rik
ENSMUSG00000032840	2410131K14Rik
ENSMUSG00000064308	2410137M14Rik
ENSMUSG00000074832	2410141K09Rik
ENSMUSG00000071632	2510002D24Rik
ENSMUSG00000043391	2510009E07Rik
ENSMUSG00000044496	2510039O18Rik
ENSMUSG00000052419	2610001J05Rik
ENSMUSG00000031242	2610002M06Rik
ENSMUSG00000071793	2610005L07Rik
ENSMUSG00000060301	2610008E11Rik
NA	2610020H08Rik
ENSMUSG00000091474	2610021A01Rik
ENSMUSG00000084362	2610024D14Rik
ENSMUSG00000009114	2610028H24Rik
ENSMUSG00000079388	2610042L04Rik
ENSMUSG00000071302	2610044O15Rik8
ENSMUSG00000059482	2610301B20Rik
NA	2610305D13Rik
ENSMUSG00000049916	2610318N02Rik
ENSMUSG00000010277	2610507B11Rik
ENSMUSG00000092486	2610524H06Rik
ENSMUSG00000096001	2610528A11Rik
ENSMUSG00000028536	2610528J11Rik
NA	2700029M09Rik
ENSMUSG00000034601	2700049A03Rik
NA	2700060E02Rik
ENSMUSG00000024273	2700062C07Rik
ENSMUSG00000053080	2700081O15Rik
NA	2700094K13Rik
ENSMUSG00000062198	2700097O09Rik
ENSMUSG00000098090	2700099C18Rik
ENSMUSG00000031984	2810004N23Rik
ENSMUSG00000047635	2810006K23Rik
ENSMUSG00000020491	2810021J22Rik
ENSMUSG00000049881	2810025M15Rik
ENSMUSG00000099034	2810039B14Rik
ENSMUSG00000092574	2810047C21Rik1
NA	2810403A07Rik
ENSMUSG00000018570	2810408A11Rik
NA	2810417H13Rik
NA	2810428I15Rik
ENSMUSG00000026227	2810459M11Rik
NA	2810474O19Rik
ENSMUSG00000044117	2900011O08Rik
ENSMUSG00000051339	2900026A02Rik
ENSMUSG00000071860	2900055J20Rik
ENSMUSG00000030385	2900092C05Rik
ENSMUSG00000070282	3000002C10Rik
NA	3010026O09Rik
ENSMUSG00000051219	3100002H09Rik
