cell_name,frxn_cell.type_BEC_DDC,frxn_cell.type_BEC_normal,frxn_cell.type_Dendritic cell.Fetal_liver,frxn_cell.type_Erythroblast_Hbb_bs high.Embryonic_Mesenchyme,frxn_cell.type_Erythroblast_Klf1 high.Fetal_liver,frxn_cell.type_Erythroid Cell.Embryonic_Mesenchyme,frxn_cell.type_Ganglion cell_Mapt high.Embryonic_Mesenchyme,frxn_cell.type_Hepatocyte_DDC,frxn_cell.type_Hepatocyte_normal,frxn_cell.type_Macrophage.Embryonic_Mesenchyme,frxn_cell.type_MEF.Trophoblast_Stem_Cell,frxn_cell.type_Muscle.Embryonic_Mesenchyme,frxn_cell.type_Neuron_Igfbpl1 high.Embryonic_Mesenchyme,frxn_cell.type_Neutrophil_Elane high.Fetal_liver,frxn_cell.type_Stem and progenitor cell.Fetal_liver,frxn_cell.type_Stromal Cell_Agtr2 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cnmd high.Embryonic_Mesenchyme,frxn_cell.type_Stromal cell_Cxcl12 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cxcl14 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_fabp7 high.Embryonic_Mesenchyme,Lagrangian,Error
Cell_25,0.914616600283848,2.78049750069089e-19,2.7130479402844e-18,2.91522561878322e-19,0.00783991853299703,3.29763203822925e-18,-2.05242657496065e-17,-3.86019974700853e-19,-1.33807314586619e-19,-7.5022983174349e-20,-1.36896091032528e-19,0.0523276686162762,6.68446305001941e-18,4.46646588108047e-18,0,-1.33143166268147e-17,-1.22072004783537e-17,-2.16072711151818e-17,5.02594562973586e-22,3.81007661689778e-19,0,808.192946961452
Cell_26,0.869094625977288,1.24941437949464e-18,0,0.0310255482062472,0.0182528438607105,6.26840316491179e-18,-2.59893112962102e-18,-3.10019843237892e-17,0.00422914125177214,4.05808286951467e-19,-1.66200943280251e-17,0.00953875465744065,4.20207771785721e-17,1.06739655438193e-17,4.65816620868108e-18,3.44650785163756e-17,-2.26790796403886e-17,2.54399578513939e-17,-1.26584500227638e-17,4.18326253072052e-17,0,937.618536947568
Cell_27,0.75888186487901,1.43977575241277e-17,-3.97454890020743e-17,0.0210586413022745,0,6.86215586040424e-18,-1.39728620878936e-17,2.38976590683104e-18,3.48152028531905e-18,1.09576360209312e-17,-2.67592573512304e-17,0.020426967197146,1.03059489225943e-17,-1.37097228709533e-17,7.39008814693465e-18,3.41278884593119e-18,1.88568733931687e-17,2.43065285165912e-17,-5.022854793194e-17,-5.67211667627011e-17,0,1059.60366737828
Cell_28,0.776488651949675,0.094750445779374,-3.25325236614012e-17,9.18574555566052e-18,-4.13072647193108e-18,9.00391177683325e-18,1.17810323749669e-19,0.008914577211495,0,-3.86621996022053e-18,2.56852169306096e-17,8.84633659976761e-18,1.88051887380488e-17,-2.92495858380547e-17,-1.65586926219609e-18,2.59212239806196e-17,8.4331707799381e-18,1.50055850332239e-17,-4.06368912151378e-17,-9.54591977962495e-18,0,1004.14637872275
Cell_29,0.696497683635313,0.0794162041357074,-7.74260951472861e-17,1.09556926410887e-17,-3.27629946253815e-17,-5.48694053710311e-19,-2.25747458692085e-18,0,0,9.40667259638575e-19,-2.62723941997417e-17,1.27109995578275e-16,-3.93548705160604e-17,3.1192008450175e-18,-1.44218669921278e-17,3.19772858944671e-18,1.3879587381079e-18,-8.82016535670585e-17,6.15033911372825e-17,-6.32238535371794e-17,0,1075.42453001651
Cell_30,0.91415738369068,1.84888017130325e-17,-5.36241212469154e-18,3.03826909268514e-18,-2.80683352537131e-18,-1.03133590526079e-18,3.5592395198379e-17,0,2.79816061619112e-17,-3.48089064692408e-18,2.06061564675597e-18,4.11886591258043e-17,1.14330626726541e-17,7.34199280895291e-18,-7.40079898614871e-17,-7.90155178651156e-18,2.25546969300239e-18,-2.19516401002422e-17,4.49760542336486e-17,1.39933501552337e-17,0,854.680448180887
Cell_31,0.794092587477396,-2.2182324811268e-17,-1.72705412477784e-17,-3.10155879495312e-17,3.7318168160192e-17,-1.86484533051084e-17,-3.16885777253238e-17,0,8.2900812389302e-18,2.69811135626925e-19,1.38023828052906e-17,1.8432976663004e-18,-3.20198408461664e-17,-8.19537939871656e-18,-1.20875170783144e-16,-2.2733032463812e-17,1.31706987118383e-17,-8.30718393793852e-17,4.95361323554741e-17,1.84257332751343e-17,0,1050.23025839194
Cell_32,0.818604281908045,5.94428240014194e-18,4.57463315320741e-18,0.0856906956112779,-1.61282212847031e-18,7.15786404302841e-20,4.2895145799885e-19,-1.90546258554812e-17,1.18480287542152e-06,-1.41314800568949e-17,0.0920739751130218,4.05119125054089e-18,4.37941497819805e-17,0.00362986256477973,8.62889556923411e-19,-1.80218598954187e-17,3.70279201591513e-18,-2.84541809549363e-17,-1.69580127062989e-17,6.70005361232077e-18,1.93937812426183,821.235001731014
Cell_33,0.76951148651871,0.103981514200809,3.93800533179099e-17,1.48627557201754e-17,-2.51226797539575e-17,0,0,1.48586729083991e-17,-4.01935329789478e-17,-3.5780691056642e-17,-5.75142752642161e-18,1.84554228839318e-17,0,1.02208088412205e-17,-3.20731461204944e-18,-4.04802802655616e-17,-7.9796666594588e-19,5.28830047920478e-19,-5.42426383280658e-19,-2.46619727161787e-18,0,1011.45174755219
Cell_34,0.736035264308261,0.0453797357105959,-3.69269453577414e-17,2.25921219524158e-17,6.26753473726241e-17,-3.9798321974521e-17,3.74399871121292e-18,7.05719062766792e-17,-5.68488544062073e-18,9.41845874559924e-18,-5.68482667986989e-18,-3.24408291287881e-17,4.76187706982941e-17,0,-1.59455193612458e-17,1.28693185689974e-17,2.48553972629114e-17,0,-7.37905154895877e-17,-7.57790878149228e-17,0,1060.99658044982
Cell_35,0.933447248953275,2.61554837523402e-18,-1.56450059471888e-17,4.34953420877365e-18,1.97082417021543e-18,5.99942292220508e-20,6.59144697557688e-18,0.00576030777651977,0,4.16223867559176e-18,1.55772790202328e-17,7.07438779749006e-19,-8.83549878712076e-19,-3.87153145159559e-18,1.42384118533066e-18,5.92401183576088e-18,-3.17251054900539e-18,-1.34005384957196e-17,-1.56300450795821e-17,1.50220985617438e-17,0,760.262446911795
Cell_36,0.854642480728419,1.77078465994724e-17,3.11767715383467e-17,-3.04423664425867e-18,-1.9806767585896e-17,-3.88822171807419e-19,0,5.30359092758827e-18,2.32238349706534e-17,-6.61551464259603e-18,2.58890417049948e-18,4.92300689244233e-17,4.57962886927768e-17,-7.33077578388867e-19,1.2608477894502e-18,-1.16277729551692e-17,2.17500442175238e-18,-1.24916055924876e-18,3.06795760250854e-17,-9.69401191087555e-17,0,1034.69874231952
Cell_37,0.827078259087971,0.0344513516419471,-5.02997686749387e-18,4.28452309345722e-17,-1.39540423530991e-17,3.00526497673513e-17,-5.66416183684653e-17,0.00173110992460625,0,-1.64366983460886e-18,-8.31550055658418e-18,-2.25099816271615e-17,6.68494438728064e-19,-4.36468396925337e-17,-1.11172497607217e-16,4.25186142169792e-17,-6.04582058876039e-17,3.99568577363817e-17,-1.25366690147596e-16,9.06766260348605e-17,0,990.245344105578
Cell_38,0.771556638699925,0,2.60073929461894e-17,-4.11279796356294e-17,-7.42440998239704e-18,-2.1231506284573e-17,-1.30120393092284e-17,3.35815812207785e-18,0,9.17459886224717e-19,5.71495302031942e-17,-9.57068905617571e-18,-2.46292130267078e-17,-1.84079584716296e-17,-2.89622338512951e-17,-4.03042875393066e-18,-6.00870766463088e-17,1.08677899115939e-16,0,5.50970344844017e-18,0,1044.40838688877
Cell_39,0.887950903473572,0.00906569944795613,-3.89790818276294e-17,0,0.00313362283718867,-2.89790905024654e-18,-1.41574499529888e-17,1.86715950835211e-18,2.06171682967379e-18,1.41260154554282e-17,1.84096187506101e-17,-4.27520538604278e-20,-8.57707905479893e-18,-6.72595209454276e-17,1.00642787391209e-17,1.74467575543664e-17,5.9956903320237e-17,4.52664750207953e-17,-3.31445609292255e-17,-6.83273650478505e-18,0,965.688362981328
Cell_40,0.770659374979206,2.5485421390941e-17,-2.65175044266931e-17,3.58957050848814e-18,7.4359921546862e-18,-1.94234477030581e-17,0,4.22006528412221e-17,3.83597165854113e-18,8.69447600250013e-18,-4.34856960155877e-17,0,0,9.41919448208265e-17,-1.48152338950154e-17,-2.72863799647049e-17,-2.38779656635305e-17,3.82764430338801e-17,-9.03978299862091e-17,5.42720477338592e-17,0,1040.33705188066
Cell_41,0.943207758092545,0,4.36386576175907e-18,0.0175416696675324,2.78319495873725e-18,0,2.60111190982402e-18,2.52442228276977e-18,1.68737783716658e-18,-2.62700178055149e-19,6.73501512731461e-18,-2.6652440083622e-17,-6.56006186758651e-17,-3.25226639899462e-18,4.49565232114471e-19,-6.35016032299578e-18,-5.80256922891275e-18,2.06344930319352e-17,0,-9.25093108787535e-19,0,825.342800885397
Cell_42,0.946839856311962,9.60945862668974e-19,3.48549843403986e-17,0,-2.24262481378877e-18,4.34224041423567e-19,-1.45593683882968e-18,-2.40164881132788e-17,-2.79211121906251e-20,0,-4.43032990678838e-18,2.44775613751748e-18,-8.56572289698723e-18,5.27566335342437e-18,-1.31742687645484e-18,-8.87997876882941e-18,-2.93015408850229e-18,3.06137088661568e-17,-1.42344863479033e-18,-1.43471479414423e-17,0,775.170122677603
Cell_43,0.853560476695916,0.00261250453465301,0,0.0302812021321031,0.032673130536355,0.0136000912821176,1.85898176863854e-18,4.54751893202994e-18,2.997964063621e-19,-8.23024962702629e-18,0.00196274473902342,6.60353221311277e-18,-6.50698962271759e-18,-1.04037925516062e-17,-9.29695566300977e-18,2.52656381545323e-17,0.0485940391685737,2.76138921786099e-18,-3.50914246053016e-18,0.00326555879372156,0,840.126859472716
Cell_44,0.917521796356075,1.57568421213467e-17,0,1.08636071302589e-17,0.0213279743290767,6.23116875639925e-18,1.88185078024263e-19,-7.39842041100991e-18,-4.41425171506763e-19,1.65472894174092e-17,4.18246977388709e-18,0.00811774252145969,-1.26460221960096e-18,5.19067151768689e-18,-1.15844474782873e-19,-9.75124093461856e-18,6.27658188244794e-19,-3.0481493840091e-17,6.08526253706529e-18,-3.20974077416494e-18,0,811.762804278859
Cell_45,0.769525476257622,0.0284675264653663,2.60327851594351e-18,1.21252053906604e-18,8.21898926792894e-17,-2.75302305292632e-18,-3.14051846257158e-17,-8.54420321507043e-18,4.10672205399759e-17,5.52057909553621e-18,0.0656278512869927,5.54003273384714e-18,6.38977010748874e-18,1.9740837659023e-18,1.12327562784035e-16,1.32565381409747e-16,0,-8.73645419685085e-18,3.54219244909433e-17,1.18164177009553e-16,0,1039.73589170812
Cell_46,0.338095322017553,0,-1.11925097286476e-16,-6.02968003494461e-17,6.74351301131379e-17,-4.26667465693527e-17,-5.7805220371033e-20,0.10106210529396,-2.56587525828685e-19,2.17891654759075e-17,-1.20716449087726e-17,-3.91362778881681e-17,-6.0333825828743e-17,-4.73773775274275e-17,-8.40301813491295e-17,-2.41014513875056e-19,4.74113943827823e-17,-2.27569804688904e-16,1.28710882972048e-16,2.06246477095316e-16,0,806.645384019565
Cell_47,0.488062960705986,-1.54398632624034e-19,0.260645527060964,7.11718820316306e-18,7.46627663966692e-17,0.0291254181444561,3.07898644693301e-17,3.21060657477692e-18,-1.32990333057981e-17,0,0.0619580327173621,4.58924616679678e-17,8.54718310238246e-19,-2.50205378354863e-17,-1.65596412814748e-16,-4.10653679746034e-17,7.0553418717782e-17,2.61972830962969e-17,-3.3005842322755e-16,1.02952843985489e-17,0,1021.26354727209
Cell_48,0.147320150771009,0.183459183358334,-1.01453714129908e-16,4.63403514688063e-18,-2.65128425206095e-17,0,2.24596980886069e-17,0.0762216888656377,-8.94436167998972e-19,-1.30788304667778e-17,2.56646650487096e-17,2.44505205944552e-17,-4.8972479427013e-17,5.35905086914298e-17,-5.12804834777792e-17,4.93614675107321e-17,1.11650675513389e-16,-9.87827698872227e-18,-1.21416435721225e-17,5.30894874138288e-17,0,722.223183927916
Cell_49,0.33845443145727,0.116106130046202,1.77312839158141e-16,-1.34746357884687e-17,-9.61257574148106e-18,0,-1.15160478627049e-18,0.102856397179912,-5.01242300085668e-18,3.64789211769624e-17,-1.31018012426565e-17,6.46564970279942e-17,-3.56568789537208e-18,-1.28566986016871e-16,-1.28488205686684e-16,-4.77976176696051e-17,-8.54305953745707e-17,1.36684618149617e-16,8.24856851242158e-17,6.73905320141674e-17,0,883.495535095575
Cell_50,0.375896605799591,0.144747980515749,1.30527624462489e-18,1.29875284741361e-20,-1.15622162438242e-17,0.0478282454856169,-1.5953945556707e-16,2.20646776604203e-17,-1.65280140646247e-18,0.289561831859661,0,-3.28616773660478e-18,-7.32095603058816e-17,1.01347112822919e-16,-4.35675343055345e-18,3.47303486776794e-17,3.80434795342244e-17,-2.01255605776462e-16,-1.33146076084451e-16,9.98238255768964e-17,0,1049.07451773872
Cell_51,0.48479752000445,5.5890109018691e-20,-1.6554975788395e-17,0.108383973833749,3.72059778420901e-17,0,2.07157364958034e-16,6.21973100934359e-18,-2.85520774753171e-18,-2.40277137439029e-18,0.00709069856720301,0.184010853581023,-2.85387741937305e-17,1.42340493831752e-18,2.18392750833241e-17,2.62154986406097e-16,1.31853596264415e-21,-1.39365937613302e-17,-3.69250373417535e-16,-1.35609669999629e-16,0,996.137389767104
Cell_52,0.255044890419515,0.119065994087691,7.37577233246012e-17,5.9694816996333e-17,-1.3059719849082e-17,-1.10026346830438e-17,0,0.102470919144202,-6.23062117621345e-19,2.67029530112011e-18,3.96596135531176e-17,-7.98000960540199e-18,-1.69803166672108e-17,-2.6450150293711e-18,5.37340380658554e-17,-5.02300978194422e-18,-2.2458568169727e-17,-1.79953226229121e-17,-6.7614102495188e-17,-1.88913297575427e-17,0,905.673956441765
Cell_53,0.25502639159145,0.134938201794841,1.88847587433668e-16,-7.42677548970001e-17,1.73927851910224e-16,-8.49147314788161e-19,0,0.0659951771093917,4.45496004476606e-19,-7.79642489625216e-18,-4.52586235606422e-18,-9.07336852758118e-17,-5.14840165884439e-18,-2.95129420397198e-18,9.0714986326859e-17,-1.03198907850209e-16,3.82127213693362e-18,-6.16498902071439e-17,-8.39704140010677e-17,-5.10235117527831e-17,0,771.512868770083
Cell_54,0.089319012996952,0.267694205002996,4.78015628049808e-17,-5.94600440285355e-17,2.72484731866823e-17,3.8036484840841e-17,0,0.0901992942159336,-5.73976725600754e-19,2.79966420696936e-19,1.11253158262808e-18,-4.906990608986e-17,-3.76836257602576e-18,-3.29286497891782e-17,-4.80912312149131e-17,-2.96013358810168e-18,-2.72507444711068e-17,6.97825687060829e-18,-7.9014530548614e-17,6.12861081310524e-17,0,747.166159253896
