,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_1411,Cell,1407,731,2,2,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_1412,Cell,419,312,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_1413,Cell,3696,1257,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1414,Cell,1135,642,7,7,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_1415,Cell,4196,1361,0,0,0.393292682926829,Doublet,Doublet,0.393292682926829,Doublet,Doublet
Cell_1416,Cell,4071,1297,5,5,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_1417,Cell,3460,1246,5,5,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_1418,Cell,2457,1047,7,7,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_1419,Cell,1622,798,7,7,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_1420,Cell,626,433,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_1421,Cell,1860,820,2,2,0.128048780487805,Singlet,Singlet,0.128048780487805,Singlet,Singlet
Cell_1422,Cell,1606,805,0,0,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1423,Cell,6671,1666,5,5,0.323170731707317,Singlet,Singlet,0.323170731707317,Singlet,Singlet
Cell_1424,Cell,3344,1198,5,5,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_1425,Cell,3417,1220,5,5,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_1426,Cell,2186,955,7,7,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_1427,Cell,5102,1501,2,2,0.384146341463415,Doublet,Doublet,0.384146341463415,Doublet,Doublet
Cell_1428,Cell,1685,874,6,6,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1429,Cell,3603,1276,5,5,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_1430,Cell,2582,1045,0,0,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1431,Cell,2475,1011,0,0,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_1432,Cell,1391,670,7,7,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_1433,Cell,1816,919,7,7,0.295731707317073,Singlet,Singlet,0.295731707317073,Singlet,Singlet
Cell_1434,Cell,2161,936,0,0,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_1435,Cell,1503,775,7,7,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1436,Cell,4127,1300,5,5,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_1437,Cell,562,371,4,4,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_1438,Cell,4855,1454,5,5,0.295731707317073,Singlet,Singlet,0.295731707317073,Singlet,Singlet
Cell_1439,Cell,1420,717,2,2,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_1440,Cell,3013,1183,0,0,0.414634146341463,Doublet,Doublet,0.414634146341463,Doublet,Doublet
Cell_1441,Cell,931,559,4,4,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_1442,Cell,4852,1383,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1443,Cell,1924,857,0,0,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_1444,Cell,1779,821,2,2,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_1445,Cell,3483,1178,2,2,0.304878048780488,Singlet,Singlet,0.304878048780488,Singlet,Singlet
Cell_1446,Cell,3399,1237,1,1,0.301829268292683,Singlet,Singlet,0.301829268292683,Singlet,Singlet
Cell_1447,Cell,1048,584,6,6,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_1448,Cell,5269,1436,5,5,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_1449,Cell,2544,1040,0,0,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_1450,Cell,2496,993,0,0,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_1451,Cell,514,362,4,4,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_1452,Cell,2948,1115,3,3,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_1453,Cell,4884,1437,1,1,0.289634146341463,Singlet,Singlet,0.289634146341463,Singlet,Singlet
Cell_1454,Cell,934,566,3,3,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_1455,Cell,838,501,8,8,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_1456,Cell,2430,1013,0,0,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_1457,Cell,409,314,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_1458,Cell,3742,1267,5,5,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_1459,Cell,2247,922,2,2,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_1460,Cell,2998,1171,3,3,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_1461,Cell,1034,590,3,3,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_1462,Cell,2214,999,0,0,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_1463,Cell,3419,1198,1,1,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_1464,Cell,4126,1342,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1465,Cell,2659,1070,1,1,0.158536585365854,Singlet,Singlet,0.158536585365854,Singlet,Singlet
Cell_1466,Cell,650,417,2,2,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_1467,Cell,3758,1295,5,5,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
