,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_0,Cell,353,277,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_1,Cell,2556,1021,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_2,Cell,4649,1466,5,5,0.332317073170732,Singlet,Singlet,0.332317073170732,Singlet,Singlet
Cell_3,Cell,4486,1415,2,2,0.481707317073171,Doublet,Doublet,0.481707317073171,Doublet,Doublet
Cell_4,Cell,5205,1505,5,5,0.332317073170732,Singlet,Singlet,0.332317073170732,Singlet,Singlet
Cell_5,Cell,1515,795,2,2,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_6,Cell,2974,1153,3,3,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_7,Cell,344,240,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_8,Cell,2545,1139,3,3,0.457317073170732,Doublet,Doublet,0.457317073170732,Doublet,Doublet
Cell_9,Cell,3103,1162,1,1,0.198170731707317,Singlet,Singlet,0.198170731707317,Singlet,Singlet
Cell_10,Cell,3107,1124,1,1,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_11,Cell,979,546,6,6,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_12,Cell,1965,903,0,0,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_13,Cell,1026,609,7,7,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_14,Cell,2663,1113,1,1,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_15,Cell,285,225,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_16,Cell,4386,1452,5,5,0.36280487804878,Doublet,Doublet,0.36280487804878,Doublet,Singlet
Cell_17,Cell,2855,1159,1,1,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_18,Cell,3092,1166,5,5,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_19,Cell,2339,1030,6,6,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_20,Cell,2153,969,3,3,0.176829268292683,Singlet,Singlet,0.176829268292683,Singlet,Singlet
Cell_21,Cell,1540,825,7,7,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_22,Cell,1329,758,6,6,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_23,Cell,489,348,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_24,Cell,811,461,6,6,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_25,Cell,1874,848,2,2,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_26,Cell,2392,1030,1,1,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_27,Cell,1317,750,7,7,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_28,Cell,532,366,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_29,Cell,4575,1391,5,5,0.347560975609756,Doublet,Singlet,0.347560975609756,Singlet,Singlet
Cell_30,Cell,3741,1290,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_31,Cell,2759,1156,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_32,Cell,1655,781,3,3,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_33,Cell,2669,1133,5,5,0.283536585365854,Singlet,Singlet,0.283536585365854,Singlet,Singlet
Cell_34,Cell,1377,707,7,7,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_35,Cell,2516,955,1,1,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_36,Cell,2914,1189,5,5,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_37,Cell,3016,1180,3,3,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_38,Cell,1409,699,2,2,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_39,Cell,1898,948,3,3,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_40,Cell,2347,1042,1,1,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_41,Cell,2746,1093,0,0,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
Cell_42,Cell,413,306,8,8,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_43,Cell,960,576,6,6,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_44,Cell,4458,1418,5,5,0.335365853658537,Singlet,Singlet,0.335365853658537,Singlet,Singlet
Cell_45,Cell,2079,945,0,0,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_46,Cell,2799,1105,3,3,0.210365853658537,Singlet,Singlet,0.210365853658537,Singlet,Singlet
Cell_47,Cell,3595,1307,5,5,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_48,Cell,545,364,6,6,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_49,Cell,2705,1056,1,1,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_50,Cell,840,534,7,7,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_51,Cell,2636,1081,2,2,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_52,Cell,2088,965,3,3,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_53,Cell,513,325,6,6,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_54,Cell,2284,1037,1,1,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_55,Cell,2857,1122,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_56,Cell,2507,1057,3,3,0.210365853658537,Singlet,Singlet,0.210365853658537,Singlet,Singlet
Cell_57,Cell,2324,988,0,0,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_58,Cell,3814,1282,5,5,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_59,Cell,1809,826,0,0,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_60,Cell,3125,1175,5,5,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_61,Cell,4422,1459,0,0,0.378048780487805,Doublet,Doublet,0.378048780487805,Doublet,Doublet
Cell_62,Cell,1605,802,0,0,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_63,Cell,3766,1289,0,0,0.393292682926829,Doublet,Doublet,0.393292682926829,Doublet,Doublet
Cell_64,Cell,365,269,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_65,Cell,2714,1188,3,3,0.335365853658537,Singlet,Singlet,0.335365853658537,Singlet,Singlet
Cell_66,Cell,424,303,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_67,Cell,927,567,7,7,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_68,Cell,1252,694,6,6,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_69,Cell,1245,714,3,3,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_70,Cell,1796,865,3,3,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_71,Cell,1577,795,3,3,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_72,Cell,2019,928,2,2,0.268292682926829,Singlet,Singlet,0.268292682926829,Singlet,Singlet
Cell_73,Cell,3488,1222,1,1,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_74,Cell,1992,868,2,2,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_75,Cell,2810,1008,2,2,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_76,Cell,4328,1394,5,5,0.347560975609756,Doublet,Singlet,0.347560975609756,Singlet,Singlet
Cell_77,Cell,2454,1036,1,1,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_78,Cell,2063,932,1,1,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_79,Cell,1739,831,7,7,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_80,Cell,1445,745,7,7,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_81,Cell,1174,648,7,7,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_82,Cell,1799,839,2,2,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_83,Cell,2986,1081,3,3,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_84,Cell,379,298,4,4,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_85,Cell,570,398,4,4,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_86,Cell,3427,1199,1,1,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_87,Cell,1780,825,3,3,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_88,Cell,2783,1084,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_89,Cell,1260,673,6,6,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_90,Cell,1529,761,7,7,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_91,Cell,4160,1259,1,1,0.222560975609756,Singlet,Singlet,0.222560975609756,Singlet,Singlet
Cell_92,Cell,346,279,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_93,Cell,1422,784,3,3,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_94,Cell,563,359,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_95,Cell,1959,884,0,0,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_96,Cell,1454,706,0,0,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_97,Cell,831,530,7,7,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_98,Cell,2334,984,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_99,Cell,6186,1592,5,5,0.350609756097561,Doublet,Doublet,0.350609756097561,Singlet,Singlet
Cell_100,Cell,2463,1015,0,0,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_101,Cell,3233,1195,5,5,0.289634146341463,Singlet,Singlet,0.289634146341463,Singlet,Singlet
Cell_102,Cell,1653,727,0,0,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_103,Cell,2006,912,0,0,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_104,Cell,3248,1112,1,1,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_105,Cell,897,547,3,3,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_106,Cell,2294,946,1,1,0.134146341463415,Singlet,Singlet,0.134146341463415,Singlet,Singlet
Cell_107,Cell,1339,690,3,3,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_108,Cell,4452,1443,5,5,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_109,Cell,1505,749,0,0,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_110,Cell,1103,614,7,7,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_111,Cell,2798,1096,1,1,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_112,Cell,327,227,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_113,Cell,3026,1138,1,1,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_114,Cell,1908,985,7,7,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
Cell_115,Cell,666,431,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_116,Cell,1823,838,1,1,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_117,Cell,1415,683,2,2,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_118,Cell,433,274,9,9,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_119,Cell,638,434,6,6,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_120,Cell,2211,1014,3,3,0.23780487804878,Singlet,Singlet,0.23780487804878,Singlet,Singlet
Cell_121,Cell,1419,771,3,3,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_122,Cell,1473,727,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_123,Cell,3856,1216,1,1,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_124,Cell,1207,656,1,1,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_125,Cell,2336,1001,1,1,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_126,Cell,1943,860,3,3,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_127,Cell,1557,765,0,0,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_128,Cell,2464,1057,3,3,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_129,Cell,2361,952,0,0,0.210365853658537,Singlet,Singlet,0.210365853658537,Singlet,Singlet
Cell_130,Cell,2864,1140,3,3,0.268292682926829,Singlet,Singlet,0.268292682926829,Singlet,Singlet
Cell_131,Cell,2370,1001,1,1,0.128048780487805,Singlet,Singlet,0.128048780487805,Singlet,Singlet
Cell_132,Cell,1112,565,2,2,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_133,Cell,2484,1050,5,5,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_134,Cell,500,320,6,6,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_135,Cell,1250,593,2,2,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_136,Cell,2004,860,1,1,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_137,Cell,3591,1254,5,5,0.283536585365854,Singlet,Singlet,0.283536585365854,Singlet,Singlet
Cell_138,Cell,3369,1235,5,5,0.298780487804878,Singlet,Singlet,0.298780487804878,Singlet,Singlet
Cell_139,Cell,1638,745,0,0,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_140,Cell,1651,801,3,3,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_141,Cell,1814,773,2,2,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_142,Cell,1654,773,0,0,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_143,Cell,861,482,6,6,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_144,Cell,3208,1181,0,0,0.335365853658537,Singlet,Singlet,0.335365853658537,Singlet,Singlet
Cell_145,Cell,2761,1089,1,1,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_146,Cell,1150,599,7,7,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_147,Cell,436,323,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_148,Cell,1533,791,7,7,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_149,Cell,518,340,6,6,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_150,Cell,1048,571,3,3,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_151,Cell,1118,585,6,6,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_152,Cell,1059,537,7,7,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_153,Cell,1702,789,0,0,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_154,Cell,1791,789,2,2,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_155,Cell,534,361,6,6,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_156,Cell,371,270,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_157,Cell,1165,583,3,3,0.0518292682926829,Singlet,Singlet,0.0518292682926829,Singlet,Singlet
Cell_158,Cell,1784,755,2,2,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_159,Cell,1433,724,1,1,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_160,Cell,1220,597,2,2,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_161,Cell,1111,596,7,7,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_162,Cell,1232,693,7,7,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_163,Cell,1059,524,2,2,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_164,Cell,416,283,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_165,Cell,492,334,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_166,Cell,2314,968,0,0,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_167,Cell,711,456,4,4,0.0274390243902439,Singlet,Singlet,0.0274390243902439,Singlet,Singlet
Cell_168,Cell,1992,903,1,1,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_169,Cell,1587,780,0,0,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_170,Cell,523,333,6,6,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_171,Cell,1797,889,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_172,Cell,1615,760,3,3,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_173,Cell,1105,574,6,6,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_174,Cell,921,461,6,6,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_175,Cell,522,363,6,6,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_176,Cell,585,371,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_177,Cell,1631,794,3,3,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_178,Cell,1245,648,7,7,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_179,Cell,3532,1260,5,5,0.320121951219512,Singlet,Singlet,0.320121951219512,Singlet,Singlet
Cell_180,Cell,1985,911,3,3,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_181,Cell,1894,874,2,2,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_182,Cell,2346,928,1,1,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_183,Cell,1474,710,0,0,0.0487804878048781,Singlet,Singlet,0.0487804878048781,Singlet,Singlet
Cell_184,Cell,1882,825,0,0,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_185,Cell,320,242,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_186,Cell,4721,1429,5,5,0.280487804878049,Singlet,Singlet,0.280487804878049,Singlet,Singlet
Cell_187,Cell,2536,1106,0,0,0.429878048780488,Doublet,Doublet,0.429878048780488,Doublet,Doublet
Cell_188,Cell,478,319,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_189,Cell,2649,1137,0,0,0.417682926829268,Doublet,Doublet,0.417682926829268,Doublet,Doublet
Cell_190,Cell,4533,1413,5,5,0.341463414634146,Singlet,Singlet,0.341463414634146,Singlet,Singlet
Cell_191,Cell,1539,763,3,3,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_192,Cell,552,341,6,6,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_193,Cell,2113,1000,2,2,0.38719512195122,Doublet,Doublet,0.38719512195122,Doublet,Doublet
Cell_194,Cell,2339,973,0,0,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_195,Cell,3113,1146,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_196,Cell,5510,1565,5,5,0.335365853658537,Singlet,Singlet,0.335365853658537,Singlet,Singlet
Cell_197,Cell,1095,624,7,7,0.115853658536585,Singlet,Singlet,0.115853658536585,Singlet,Singlet
Cell_198,Cell,1244,683,6,6,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_199,Cell,350,269,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_200,Cell,907,572,6,6,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_201,Cell,1578,832,3,3,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_202,Cell,2544,1039,1,1,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_203,Cell,4687,1452,5,5,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
Cell_204,Cell,3100,1192,5,5,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_205,Cell,1888,861,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_206,Cell,1250,738,3,3,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
Cell_207,Cell,3026,1166,5,5,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_208,Cell,4102,1382,5,5,0.344512195121951,Singlet,Singlet,0.344512195121951,Singlet,Singlet
Cell_209,Cell,742,512,6,6,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_210,Cell,2766,1090,1,1,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_211,Cell,3141,1140,5,5,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_212,Cell,2648,1092,0,0,0.414634146341463,Doublet,Doublet,0.414634146341463,Doublet,Doublet
Cell_213,Cell,3386,1252,5,5,0.268292682926829,Singlet,Singlet,0.268292682926829,Singlet,Singlet
Cell_214,Cell,3218,1218,0,0,0.408536585365854,Doublet,Doublet,0.408536585365854,Doublet,Doublet
Cell_215,Cell,2219,945,0,0,0.326219512195122,Singlet,Singlet,0.326219512195122,Singlet,Singlet
Cell_216,Cell,492,353,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_217,Cell,1258,614,2,2,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_218,Cell,2086,929,3,3,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_219,Cell,2560,1066,1,1,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_220,Cell,854,516,7,7,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_221,Cell,4075,1320,0,0,0.411585365853659,Doublet,Doublet,0.411585365853659,Doublet,Doublet
Cell_222,Cell,2376,1071,5,5,0.298780487804878,Singlet,Singlet,0.298780487804878,Singlet,Singlet
Cell_223,Cell,2524,1024,0,0,0.390243902439024,Doublet,Doublet,0.390243902439024,Doublet,Doublet
Cell_224,Cell,2283,972,0,0,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_225,Cell,1965,920,3,3,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_226,Cell,1417,725,2,2,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_227,Cell,2995,1137,2,2,0.344512195121951,Singlet,Singlet,0.344512195121951,Singlet,Singlet
Cell_228,Cell,4438,1499,0,0,0.402439024390244,Doublet,Doublet,0.402439024390244,Doublet,Doublet
Cell_229,Cell,972,600,8,8,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_230,Cell,2582,1070,3,3,0.210365853658537,Singlet,Singlet,0.210365853658537,Singlet,Singlet
Cell_231,Cell,2703,1111,1,1,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_232,Cell,1973,859,0,0,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_233,Cell,4096,1300,1,1,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_234,Cell,990,592,3,3,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_235,Cell,2957,1104,2,2,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_236,Cell,2413,1036,0,0,0.268292682926829,Singlet,Singlet,0.268292682926829,Singlet,Singlet
Cell_237,Cell,2583,1058,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_238,Cell,479,335,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_239,Cell,1756,838,0,0,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_240,Cell,2083,914,3,3,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_241,Cell,5053,1498,5,5,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_242,Cell,873,539,3,3,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_243,Cell,2189,939,0,0,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_244,Cell,4406,1457,5,5,0.338414634146341,Singlet,Singlet,0.338414634146341,Singlet,Singlet
Cell_245,Cell,1155,594,2,2,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_246,Cell,2338,963,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_247,Cell,2222,897,2,2,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
